Year,Economy,Economy Label,Partner,Partner Label,Flow,Flow Label,IctProductCategory,IctProductCategory Label,Percentage of total merchandise trade,Percentage of total merchandise trade Footnote
2000,222,"El Salvador",0000,"World",01,"Imports",ICT00,"Total ICT goods",2.87082,
2000,222,"El Salvador",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.0518,
2000,231,"Ethiopia",0000,"World",01,"Imports",ICT00,"Total ICT goods",4.88519,
2000,233,"Estonia",0000,"World",01,"Imports",ICT00,"Total ICT goods",13.05428,
2000,233,"Estonia",0000,"World",02,"Exports",ICT00,"Total ICT goods",25.25943,
2000,233,"Estonia",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",0.91405,
2000,234,"Faroe Islands",0000,"World",01,"Imports",ICT00,"Total ICT goods",4.78336,
2000,2370,"Selected exporters of petroleum",0000,"World",01,"Imports",ICT00,"Total ICT goods",4.99426,
2000,2370,"Selected exporters of petroleum",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.0476,
2000,2370,"Selected exporters of petroleum",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",4.9985,
2000,2371,"Selected exporters of manufactured goods",0000,"World",01,"Imports",ICT00,"Total ICT goods",25.01646,
2000,2371,"Selected exporters of manufactured goods",0000,"World",02,"Exports",ICT00,"Total ICT goods",29.59873,
2000,2371,"Selected exporters of manufactured goods",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",25.81184,
2000,2371,"Selected exporters of manufactured goods",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",42.95648,
2000,2372,"Selected exporters of manufactured goods and primary commodities",0000,"World",01,"Imports",ICT00,"Total ICT goods",22.02498,
2000,2372,"Selected exporters of manufactured goods and primary commodities",0000,"World",02,"Exports",ICT00,"Total ICT goods",23.5464,
2000,2372,"Selected exporters of manufactured goods and primary commodities",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",25.81184,
2000,2372,"Selected exporters of manufactured goods and primary commodities",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",40.63239,
2000,2373,"Selected exporters of agricultural products",0000,"World",01,"Imports",ICT00,"Total ICT goods",9.36239,
2000,2373,"Selected exporters of agricultural products",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.21868,
2000,2373,"Selected exporters of agricultural products",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",0.77716,
2000,2374,"Selected exporters of minerals and mining products",0000,"World",01,"Imports",ICT00,"Total ICT goods",8.04496,
2000,2374,"Selected exporters of minerals and mining products",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.25067,
2000,2374,"Selected exporters of minerals and mining products",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",3.33399,
2000,2376,"Selected LIFDC (Low-income food-deficit countries)",0000,"World",01,"Imports",ICT00,"Total ICT goods",3.45458,
