Year,Economy,Economy Label,Partner,Partner Label,Flow,Flow Label,Category,Category Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,Growth rate (over previous period),Growth rate (over previous period) Footnote,Percentage of total world,Percentage of total world Footnote,Percentage of total trade in services,Percentage of total trade in services Footnote
2005,344,"China, Hong Kong SAR",0000,"World",01,"Imports",SICT,"ICT services",801.689,,,,,,1.42535,
2005,344,"China, Hong Kong SAR",0000,"World",02,"Exports",SICT,"ICT services",890.794,,,,0.534331,,1.88037,
2005,348,"Hungary",0000,"World",01,"Imports",SICT,"ICT services",757.446,,,,,,6.43969,
2005,348,"Hungary",0000,"World",02,"Exports",SICT,"ICT services",652.341,,,,0.391299,,4.97048,
2005,3501,"MSG (Melanesian Spearhead Group)",0000,"World",02,"Exports",SICT,"ICT services",39.865,,,,0.023913,,2.82074,
2005,356,"India",0000,"World",01,"Imports",SICT,"ICT services",1257.875,,,,,,2.07448,"Estimated"
2005,356,"India",0000,"World",02,"Exports",SICT,"ICT services",16698.152,"Estimated",,,10.016176,"Estimated",32.00167,"Estimated"
2005,360,"Indonesia",0000,"World",01,"Imports",SICT,"ICT services",1055.47,,,,,,4.75505,
2005,360,"Indonesia",0000,"World",02,"Exports",SICT,"ICT services",1145.55,,,,0.687144,,8.81382,
2005,364,"Iran (Islamic Republic of)",0000,"World",01,"Imports",SICT,"ICT services",368,,,,,,3.39452,"Estimated"
2005,364,"Iran (Islamic Republic of)",0000,"World",02,"Exports",SICT,"ICT services",81,,,,0.048587,,1.62032,
2005,368,"Iraq",0000,"World",01,"Imports",SICT,"ICT services",252.9,,,,,,4.14964,
2005,368,"Iraq",0000,"World",02,"Exports",SICT,"ICT services",0,"Estimated",,,0,"Estimated",0,"Estimated"
